id_tiket,deskripsi,prioritas
TKT-112,"ransomware menyerang komputer di gedung fakultas teknik, file penting terenkripsi dan tidak bisa dibuka",Tinggi
TKT-113,"selamat siang, data nilai di SIAKAD hilang setelah pembaruan sistem, mohon ditangani segera",Tinggi
TKT-114,"database portal e-learning korup, backup terakhir belum dicoba dipulihkan, layanan lumpuh",Tinggi
TKT-115,"portal penerimaan mahasiswa baru tidak bisa diakses saat ujian berlangsung, peserta ujian terputus massal",Tinggi
TKT-116,"tolong segera dicek, akun admin portal e-learning diduga diretas, ada login mencurigakan dari luar negeri",Tinggi
TKT-117,"selamat siang, sistem KRS online error 500 saat masa pengisian berlangsung, ratusan mahasiswa gagal masuk",Tinggi
TKT-118,"halo tim TI, switch utama di gedung kuliah bersama rusak sehingga seluruh lantai kehilangan koneksi jaringan",Tinggi
TKT-119,"tolong segera dicek, saya ingin bertanya jadwal pemeliharaan portal penerimaan mahasiswa baru bulan depan",Rendah
TKT-120,"tolong segera dicek, ransomware menyerang komputer di gedung kuliah bersama, file penting terenkripsi dan tidak bisa dibuka",Tinggi
TKT-121,"halo tim TI, jaringan internet di ruang tata usaha mati total sejak pagi, semua ruangan tidak bisa terhubung",Tinggi
TKT-122,"tolong segera reset password, saya perlu masuk sistem hari ini",Rendah
TKT-123,"halo tim TI, proyektor di perpustakaan pusat tidak menyala padahal ada perkuliahan siang ini",Sedang
TKT-124,"mohon bantuan reset password akun sistem ujian daring, saya lupa kredensialnya",Rendah
TKT-125,"wifi mati di ruang saya, tidak bisa koneksi sama sekali",Sedang
TKT-126,"tolong segera dicek, server sistem keuangan kampus down total, seluruh pengguna tidak bisa mengakses sama sekali",Tinggi
TKT-127,"server sistem KRS online down total, seluruh pengguna tidak bisa mengakses sama sekali",Tinggi
TKT-128,"halo tim TI, permintaan pembuatan folder bersama di penyimpanan awan untuk kelompok kerja",Rendah
TKT-129,tanya prosedur peminjaman kabel HDMI untuk kegiatan di kantor biro akademik,Rendah
TKT-130,"printer di laboratorium komputer 2 tidak bisa mencetak, antrean dokumen menumpuk",Sedang
TKT-131,"tolong segera dicek, portal e-learning error 500 saat masa pengisian berlangsung, ratusan mahasiswa gagal masuk",Tinggi
TKT-132,"selamat siang, portal e-learning tidak bisa diakses saat ujian berlangsung, peserta ujian terputus massal",Tinggi
TKT-133,"mohon bantuan, saya tidak bisa login ke presensi online sejak kemarin, password sudah benar",Sedang
TKT-134,"wifi di laboratorium komputer 2 sangat lambat, sulit membuka portal penerimaan mahasiswa baru",Sedang
TKT-135,aplikasi ujian tiba-tiba keluar sendiri untuk banyak peserta,Tinggi
TKT-136,"selamat siang, minta panduan penggunaan SIAKAD untuk mahasiswa semester awal",Rendah
TKT-137,"mohon bantuan, permintaan pembuatan folder bersama di penyimpanan awan untuk kelompok kerja",Rendah
TKT-138,usul perubahan tampilan menu di sistem keuangan kampus agar lebih mudah dibaca,Rendah
TKT-139,"mohon update nama pada akun portal penerimaan mahasiswa baru, ada salah ketik di nama belakang",Rendah
TKT-140,"tolong segera dicek, usul perubahan tampilan menu di presensi online agar lebih mudah dibaca",Rendah
TKT-141,"halo tim TI, minta panduan penggunaan sistem ujian daring untuk mahasiswa semester awal",Rendah
TKT-142,"database presensi online korup, backup terakhir belum dicoba dipulihkan, layanan lumpuh",Tinggi
TKT-143,"file laporan tidak bisa diunggah ke sistem KRS online, muncul pesan gagal berulang",Sedang
TKT-144,"scanner di kantor biro akademik tidak terdeteksi oleh komputer, dokumen perlu dipindai hari ini",Sedang
TKT-145,"mohon bantuan, komputer di asrama mahasiswa sering restart sendiri ketika dipakai mengetik laporan",Sedang
TKT-146,tanya prosedur peminjaman kabel HDMI untuk kegiatan di laboratorium jaringan,Rendah
TKT-147,"selamat siang, server sistem ujian daring down total, seluruh pengguna tidak bisa mengakses sama sekali",Tinggi
TKT-148,switch utama di laboratorium komputer 2 rusak sehingga seluruh lantai kehilangan koneksi jaringan,Tinggi
TKT-149,"wifi di ruang dosen lantai 3 sangat lambat, sulit membuka portal e-learning",Sedang
TKT-150,"halo tim TI, switch utama di asrama mahasiswa rusak sehingga seluruh lantai kehilangan koneksi jaringan",Tinggi
TKT-151,"listrik UPS ruang server padam, seluruh layanan presensi online berhenti mendadak",Tinggi
TKT-152,"selamat siang, tanya prosedur peminjaman kabel HDMI untuk kegiatan di asrama mahasiswa",Rendah
TKT-153,minta dipasangkan aplikasi pengolah data di komputer laboratorium komputer 2,Rendah
TKT-154,bagaimana cara mengubah foto profil di presensi online?,Rendah
TKT-155,sound system ruang kelas di gedung fakultas teknik berdengung dan suaranya pecah,Sedang
TKT-156,"jaringan internet di gedung fakultas teknik mati total sejak pagi, semua ruangan tidak bisa terhubung",Tinggi
TKT-157,"halo tim TI, scanner di gedung fakultas teknik tidak terdeteksi oleh komputer, dokumen perlu dipindai hari ini",Sedang
TKT-158,saya ingin bertanya jadwal pemeliharaan portal penerimaan mahasiswa baru bulan depan,Rendah
TKT-159,"tolong segera dicek, permintaan pembuatan folder bersama di penyimpanan awan untuk kelompok kerja",Rendah
TKT-160,"ransomware menyerang komputer di gedung rektorat, file penting terenkripsi dan tidak bisa dibuka",Tinggi
TKT-161,"mohon bantuan, listrik UPS ruang server padam, seluruh layanan sistem keuangan kampus berhenti mendadak",Tinggi
TKT-162,usul perubahan tampilan menu di SIAKAD agar lebih mudah dibaca,Rendah
TKT-163,"akun email saya tidak bisa dibuka, takut ada yang masuk tanpa izin",Sedang
TKT-164,saya ingin bertanya jadwal pemeliharaan sistem keuangan kampus bulan depan,Rendah
TKT-165,"saya tidak bisa login ke sistem ujian daring sejak kemarin, password sudah benar",Sedang
TKT-166,"tolong segera dicek, mohon informasi tata cara mengajukan akun email untuk dosen baru",Rendah
TKT-167,laptop inventaris kantor sering hang dan harus dinyalakan ulang berkali-kali,Sedang
TKT-168,email phishing menyebar ke seluruh dosen dan banyak yang sudah memasukkan password,Tinggi
TKT-169,"selamat siang, sound system ruang kelas di kantor biro akademik berdengung dan suaranya pecah",Sedang
TKT-170,"jaringan internet di ruang tata usaha mati total sejak pagi, semua ruangan tidak bisa terhubung",Tinggi
TKT-171,"halo tim TI, wifi di kantor biro akademik sangat lambat, sulit membuka portal e-learning",Sedang
TKT-172,permohonan pemindahan colokan jaringan di kantor biro akademik ke sisi jendela,Rendah
TKT-173,"scanner di gedung fakultas teknik tidak terdeteksi oleh komputer, dokumen perlu dipindai hari ini",Sedang
TKT-174,"tolong segera dicek, switch utama di kantor biro akademik rusak sehingga seluruh lantai kehilangan koneksi jaringan",Tinggi
TKT-175,"saya tidak bisa login ke SIAKAD sejak kemarin, password sudah benar",Sedang
TKT-176,"tolong segera dicek, koneksi VPN sering terputus saat mengakses jurnal dari rumah",Sedang
TKT-177,komputer di perpustakaan pusat sering restart sendiri ketika dipakai mengetik laporan,Sedang
TKT-178,"mohon bantuan reset password akun SIAKAD, saya lupa kredensialnya",Rendah
TKT-179,"mohon bantuan, mohon informasi tata cara mengajukan akun email untuk dosen baru",Rendah
TKT-180,"mohon bantuan, wifi di kantor biro akademik sangat lambat, sulit membuka sistem ujian daring",Sedang
TKT-181,email saya tidak bisa mengirim lampiran lebih dari satu file,Sedang
TKT-182,"mohon bantuan, minta panduan penggunaan sistem KRS online untuk mahasiswa semester awal",Rendah
TKT-183,tanya prosedur peminjaman kabel HDMI untuk kegiatan di laboratorium komputer 2,Rendah
TKT-184,"scanner di gedung rektorat tidak terdeteksi oleh komputer, dokumen perlu dipindai hari ini",Sedang
TKT-185,"tolong segera dicek, suhu ruang server naik drastis dan alarm menyala, khawatir perangkat rusak",Tinggi
TKT-186,"mohon update nama pada akun sistem ujian daring, ada salah ketik di nama belakang",Rendah
TKT-187,minta dipasangkan aplikasi pengolah data di komputer ruang tata usaha,Rendah
TKT-188,"mohon bantuan, minta dipasangkan aplikasi pengolah data di komputer kantor biro akademik",Rendah
TKT-189,minta dipasangkan aplikasi pengolah data di komputer laboratorium jaringan,Rendah
TKT-190,proyektor di kantor biro akademik tidak menyala padahal ada perkuliahan siang ini,Sedang
TKT-191,server lab lambat sekali hari ini,Sedang
TKT-192,"halo tim TI, scanner di asrama mahasiswa tidak terdeteksi oleh komputer, dokumen perlu dipindai hari ini",Sedang
TKT-193,"listrik UPS ruang server padam, seluruh layanan SIAKAD berhenti mendadak",Tinggi
TKT-194,"mohon bantuan, komputer di ruang dosen lantai 3 sering restart sendiri ketika dipakai mengetik laporan",Sedang
TKT-195,minta dipasangkan aplikasi pengolah data di komputer gedung rektorat,Rendah
TKT-196,koneksi VPN sering terputus saat mengakses jurnal dari rumah,Sedang
TKT-197,proyektor di laboratorium komputer 2 tidak menyala padahal ada perkuliahan siang ini,Sedang
TKT-198,"tolong segera dicek, komputer di laboratorium jaringan sering restart sendiri ketika dipakai mengetik laporan",Sedang
TKT-199,"halo tim TI, database presensi online korup, backup terakhir belum dicoba dipulihkan, layanan lumpuh",Tinggi
TKT-200,"akun admin portal e-learning diduga diretas, ada login mencurigakan dari luar negeri",Tinggi
